dbn,school_name,cte_designated_high_school,program_cip_code,program_name,industry_cluster,number_of_industry_partners,is_nysed_approved,grade_levels_served,enrolled_student_counts,year,staff_attending
02M135,The Urban Assembly School for Emergency Management,True,439999,"Security and Protective Services, Other",Law and Public Safety Cluster,2,Non-Approved,9101112,298,2016-2017,0.0
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,True,469999,"Construction Trades, Other",Architecture and Construction Cluster,2,Approved,101112,156,2016-2017,1.0
02M280,Manhattan Early College School for Advertising,True,110899,"Computer Software and Media Applications, Other",Information Technology Cluster,2,Non-Approved,91011,265,2016-2017,2.0
02M282,Urban Assembly Maker Academy,True,110201,"Computer Programming/Programmer, General",Information Technology Cluster,1,Non-Approved,1011,35,2016-2017,1.0
02M282,Urban Assembly Maker Academy,True,110899,"Computer Software and Media Applications, Other",Information Technology Cluster,2,Non-Approved,91011,246,2016-2017,1.0
02M282,Urban Assembly Maker Academy,True,151299,"Computer Engineering Technologies/Technician, Other",Information Technology Cluster,2,Non-Approved,11,2,2016-2017,1.0
02M288,Food and Finance High School,True,120503,Culinary Arts/Chef Training,Hospitality and Tourism Cluster,5,Approved,9101112,387,2016-2017,6.0
02M392,MANHATTAN BUSINESS ACADEMY,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,5,Approved,9101112,416,2016-2017,2.0
02M393,Business Of Sports School,True,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,6,Approved,9101112,308,2016-2017,4.0
02M420,High School for Health Professions and Human Servi,False,510802,Clinical/Medical Laboratory Assistant,Health Science Cluster,4,Non-Approved,101112,316,2016-2017,3.0
02M489,High School of Economics and Finance,False,520304,Accounting and Finance,Business Management and Administration Cluster,5,Non-Approved,9101112,689,2016-2017,4.0
02M489,High School of Economics and Finance,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,3,Non-Approved,1112,60,2016-2017,4.0
02M507,Urban Assembly Gateway School for Technology,True,110201,"Computer Programming/Programmer, General",Information Technology Cluster,2,Non-Approved,9101112,78,2016-2017,2.0
02M507,Urban Assembly Gateway School for Technology,True,500409,Graphic Design,"Arts, Audio/Video Technology and Communications Cluster",4,Approved,9101112,143,2016-2017,2.0
02M507,Urban Assembly Gateway School for Technology,True,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,3,Approved,9101112,234,2016-2017,2.0
02M519,Talent Unlimited High School,False,500301,"Dance, General","Arts, Audio/Video Technology and Communications Cluster",2,Non-Approved,1112,42,2016-2017,0.0
02M519,Talent Unlimited High School,False,500501,"Drama and Dramatics/Theatre Arts, General","Arts, Audio/Video Technology and Communications Cluster",1,Non-Approved,9101112,100,2016-2017,0.0
02M520,Murry Bergtraum High School for Business Careers,False,430107,Criminal Justice/Police Science,Law and Public Safety Cluster,0,Non-Approved,,0,2016-2017,0.0
02M520,Murry Bergtraum High School for Business Careers,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,9,Non-Approved,,0,2016-2017,0.0
02M529,Jacqueline Kennedy Onassis High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,7,Non-Approved,9101112,240,2016-2017,7.0
02M529,Jacqueline Kennedy Onassis High School,False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,3,Non-Approved,9101112,306,2016-2017,7.0
02M533,Union Square Academy for Health Sciences,True,510603,Dental Laboratory Technology/Technician,Health Science Cluster,3,Approved,9101112,202,2016-2017,6.0
02M533,Union Square Academy for Health Sciences,True,510805,Pharmacy Technician/Assistant,Health Science Cluster,4,Approved,9101112,200,2016-2017,6.0
02M542,Manhattan Bridges High School,False,110101,"Computer and Information Sciences, General",Information Technology Cluster,2,Non-Approved,9101112,329,2016-2017,4.0
02M542,Manhattan Bridges High School,False,151304,Civil Drafting and Civil Engineering CAD/CADD,Manufacturing Production Cluster,2,Non-Approved,9101112,163,2016-2017,4.0
02M546,Academy for Software Engineering,True,110201,"Computer Programming/Programmer, General",Information Technology Cluster,3,Non-Approved,9101112,444,2016-2017,4.0
02M551,Urban Assembly New York Harbor School,True,10303,Aquaculture,"Agriculture, Food and Natural Resources Cluster",2,Approved,9101112,81,2016-2017,6.0
02M551,Urban Assembly New York Harbor School,True,30205,"Water, Wetlands and Marine Resources Management","Agriculture, Food and Natural Resources Cluster",3,Approved,9101112,76,2016-2017,6.0
02M551,Urban Assembly New York Harbor School,True,150405,Robotics Technology/Technician,Manufacturing Production Cluster,2,Approved,9101112,72,2016-2017,6.0
02M551,Urban Assembly New York Harbor School,True,470616,Marine Maintenance/Fitter and Ship Repair Technology/Technician,"Transportation, Distribution and Logistics Cluster",3,Approved,9101112,71,2016-2017,6.0
02M551,Urban Assembly New York Harbor School,True,490399,"Marine Transportation, Other","Transportation, Distribution and Logistics Cluster",2,Non-Approved,9101112,74,2016-2017,6.0
02M551,Urban Assembly New York Harbor School,True,490309,Marine Science/Merchant Marine Officer,"Transportation, Distribution and Logistics Cluster",2,Approved,9101112,73,2016-2017,6.0
02M600,The High School of Fashion Industries,True,190905,Apparel and Textile Marketing Management,Marketing Sales and Services Cluster,2,Approved,9101112,249,2016-2017,5.0
02M600,The High School of Fashion Industries,True,500407,Fashion/Apparel Design,"Arts, Audio/Video Technology and Communications Cluster",2,Approved,9101112,997,2016-2017,5.0
02M600,The High School of Fashion Industries,True,500409,Graphic Design,"Arts, Audio/Video Technology and Communications Cluster",2,Approved,9101112,354,2016-2017,5.0
02M600,The High School of Fashion Industries,True,521902,Fashion Merchandising,Marketing Sales and Services Cluster,2,Approved,101112,58,2016-2017,5.0
02M615,Chelsea Career and Technical Education High School,True,500409,Graphic Design,"Arts, Audio/Video Technology and Communications Cluster",3,Approved,9101112,291,2016-2017,12.0
02M615,Chelsea Career and Technical Education High School,True,110901,Computer Systems Networking and Telecommunications,Information Technology Cluster,2,Approved,9101112,49,2016-2017,12.0
02M615,Chelsea Career and Technical Education High School,True,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,3,Non-Approved,9101112,76,2016-2017,12.0
02M630,Art and Design High School,True,100303,Prepress/Desktop Publishing and Digital Imaging Design,Manufacturing Production Cluster,3,Approved,9101112,731,2016-2017,23.0
02M630,Art and Design High School,True,100304,"Animation, Interactive Technology, Video Graphics and Special Effects",Manufacturing Production Cluster,2,Approved,9101112,164,2016-2017,23.0
02M630,Art and Design High School,True,151303,Architectural Drafting and Architectural CAD/CADD,Manufacturing Production Cluster,3,Approved,9101112,78,2016-2017,23.0
02M630,Art and Design High School,True,500406,Commercial Photography,"Arts, Audio/Video Technology and Communications Cluster",3,Non-Approved,9101112,46,2016-2017,23.0
02M630,Art and Design High School,True,500407,Fashion/Apparel Design,"Arts, Audio/Video Technology and Communications Cluster",4,Non-Approved,9101112,75,2016-2017,23.0
02M630,Art and Design High School,True,500410,Illustration,"Arts, Audio/Video Technology and Communications Cluster",2,Approved,9101112,236,2016-2017,23.0
02M630,Art and Design High School,True,500602,Cinematography and Film/Video Production,"Arts, Audio/Video Technology and Communications Cluster",2,Non-Approved,9101112,49,2016-2017,23.0
03M299,The Maxine Greene HS for Imaginative Inquiry,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,2,Non-Approved,9101112,156,2016-2017,5.0
03M402,The Urban Assembly School for Green Careers,True,10601,"Applied Horticulture/Horticultural Operations, General","Agriculture, Food and Natural Resources Cluster",2,Non-Approved,9101112,145,2016-2017,1.0
03M402,The Urban Assembly School for Green Careers,True,460401,Building/Property Maintenance and Manager,Architecture and Construction Cluster,1,Approved,9101112,159,2016-2017,1.0
03M485,Fiorello H. LaGuardia High School of Music & Art a,False,500301,"Dance, General","Arts, Audio/Video Technology and Communications Cluster",2,Non-Approved,9101112,234,2016-2017,1.0
03M485,Fiorello H. LaGuardia High School of Music & Art a,False,500501,"Drama and Dramatics/Theatre Arts, General","Arts, Audio/Video Technology and Communications Cluster",2,Non-Approved,9101112,333,2016-2017,1.0
03M485,Fiorello H. LaGuardia High School of Music & Art a,False,500502,Technical Theater/Theater Design and Technology,"Arts, Audio/Video Technology and Communications Cluster",2,Approved,9101112,102,2016-2017,1.0
05M157,The Urban Assembly School for Global Commerce,True,150000,"Engineering Technology, General",Scientific Research and Engineering Cluster,2,Non-Approved,101112,60,2016-2017,6.0
05M157,The Urban Assembly School for Global Commerce,True,520203,Logistics and Materials Management,"Transportation, Distribution and Logistics Cluster",2,Non-Approved,9101112,177,2016-2017,6.0
05M362,Columbia Secondary School,False,150101,Architectural Engineering Technology/Technician,Architecture and Construction Cluster,2,Non-Approved,9101112,383,2016-2017,3.0
06M211,Inwood Early College for Health and Information Te,True,110103,Information Technology,Information Technology Cluster,3,Non-Approved,91011,276,2016-2017,11.0
06M467,High School for Law and Public Service,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,3,Non-Approved,9101112,362,2016-2017,8.0
07X259,"H.E.R.O. High (Health, Education, and Research Occ",True,511613,Licensed Practical/Vocational Nurse Training,Health Science Cluster,2,Non-Approved,9101112,446,2016-2017,1.0
