dbn,school_name,cte_designated_high_school,program_cip_code,program_name,industry_cluster,number_of_industry_partners,is_nysed_approved,grade_levels_served,enrolled_student_counts,number_of_school_staff,year,number_of_staff_attending
02M135,The Urban Assembly School for Emergency Management,True,439999,"Security and Protective Services, Other",Law and Public Safety Cluster,2,Non-Approved,9101112,298,0,2016-2017,
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,True,469999,"Construction Trades, Other",Architecture and Construction Cluster,2,Approved,101112,156,1,2016-2017,
02M280,Manhattan Early College School for Advertising,True,110899,"Computer Software and Media Applications, Other",Information Technology Cluster,2,Non-Approved,91011,265,2,2016-2017,
02M282,Urban Assembly Maker Academy,True,110201,"Computer Programming/Programmer, General",Information Technology Cluster,1,Non-Approved,1011,35,1,2016-2017,
02M282,Urban Assembly Maker Academy,True,110899,"Computer Software and Media Applications, Other",Information Technology Cluster,2,Non-Approved,91011,246,1,2016-2017,
02M282,Urban Assembly Maker Academy,True,151299,"Computer Engineering Technologies/Technician, Other",Information Technology Cluster,2,Non-Approved,11,2,1,2016-2017,
02M288,Food and Finance High School,True,120503,Culinary Arts/Chef Training,Hospitality and Tourism Cluster,5,Approved,9101112,387,6,2016-2017,
02M392,MANHATTAN BUSINESS ACADEMY,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,5,Approved,9101112,416,2,2016-2017,
02M393,Business Of Sports School,True,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,6,Approved,9101112,308,4,2016-2017,
02M420,High School for Health Professions and Human Servi,False,510802,Clinical/Medical Laboratory Assistant,Health Science Cluster,4,Non-Approved,101112,316,3,2016-2017,
02M489,High School of Economics and Finance,False,520304,Accounting and Finance,Business Management and Administration Cluster,5,Non-Approved,9101112,689,4,2016-2017,
02M489,High School of Economics and Finance,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,3,Non-Approved,1112,60,4,2016-2017,
