dbn,school_name,cte_designated_high_school,program_cip_code,program_name,industry_cluster,number_of_industry_partners,is_nysed_approved,grade_levels_served,enrolled_student_counts,number_of_staff_attending,Year
01M448,University Neighborhood High School,False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,1,Non-Approved,9101112,452,3,2018-2019
02M135,The Urban Assembly School for Emergency Management,True,439999,"Security and Protective Services, Other",Law and Public Safety Cluster,14,Non-Approved,11,1,1,2018-2019
02M135,The Urban Assembly School for Emergency Management,True,510904,Emergency Medical Technology/Technician (EMT Paramedic),Health Science Cluster,2,Non-Approved,9101112,269,1,2018-2019
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,True,469999,"Construction Trades, Other",Architecture and Construction Cluster,2,Approved,9101112,393,6,2018-2019
02M280,Manhattan Early College School for Advertising,True,110201,"Computer Programming/Programmer, General",Information Technology Cluster,3,Non-Approved,,0,3,2018-2019
02M280,Manhattan Early College School for Advertising,True,110899,"Computer Software and Media Applications, Other",Information Technology Cluster,3,Non-Approved,9101112,398,3,2018-2019
02M282,Urban Assembly Maker Academy,True,110201,"Computer Programming/Programmer, General",Information Technology Cluster,3,Approved,9101112,120,3,2018-2019
02M282,Urban Assembly Maker Academy,True,500102,Digital Arts,"Arts, Audio/Video Technology and Communications Cluster",0,Approved,,0,3,2018-2019
02M288,Food and Finance High School,True,120503,Culinary Arts/Chef Training,Hospitality and Tourism Cluster,4,Approved,9101112,371,5,2018-2019
02M300,"Urban Assembly School of Design and Construction,",False,151303,Architectural Drafting and Architectural CAD/CADD,Manufacturing Production Cluster,3,Non-Approved,9101112,152,5,2018-2019
02M392,MANHATTAN BUSINESS ACADEMY,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,6,Approved,101112,304,6,2018-2019
02M393,Business Of Sports School,True,520201,"Business Administration and Management, General",Business Management and Administration Cluster,7,Non-Approved,91012,73,7,2018-2019
02M393,Business Of Sports School,True,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,7,Approved,9101112,313,7,2018-2019
02M420,High School for Health Professions and Human Servi,False,510802,Clinical/Medical Laboratory Assistant,Health Science Cluster,6,Non-Approved,101112,295,8,2018-2019
02M489,High School of Economics and Finance,False,520304,Accounting and Finance,Business Management and Administration Cluster,5,Non-Approved,9101112,622,4,2018-2019
