dbn,school_name,cte_designated_high_school,program_cip_code,program_name,industry_cluster,number_of_industry_partners,is_nysed_approved,grade_levels_served,enrolled_student_counts,number_of_staff_attending,Year
01M448,University Neighborhood High School,False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,0,Non-Approved,9101112,381,4,2017-2018
02M135,The Urban Assembly School for Emergency Management,True,439999,"Security and Protective Services, Other",Law and Public Safety Cluster,2,Non-Approved,9101112,277,3,2017-2018
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,True,469999,"Construction Trades, Other",Architecture and Construction Cluster,2,Approved,9101112,385,3,2017-2018
02M280,Manhattan Early College School for Advertising,True,110201,"Computer Programming/Programmer, General",Information Technology Cluster,0,Non-Approved,,0,1,2017-2018
02M280,Manhattan Early College School for Advertising,True,110899,"Computer Software and Media Applications, Other",Information Technology Cluster,2,Non-Approved,9101112,367,1,2017-2018
02M282,Urban Assembly Maker Academy,True,110201,"Computer Programming/Programmer, General",Information Technology Cluster,1,Non-Approved,9101112,83,2,2017-2018
02M282,Urban Assembly Maker Academy,True,110899,"Computer Software and Media Applications, Other",Information Technology Cluster,2,Non-Approved,9101112,278,2,2017-2018
02M288,Food and Finance High School,True,120503,Culinary Arts/Chef Training,Hospitality and Tourism Cluster,5,Approved,9101112,380,7,2017-2018
02M392,MANHATTAN BUSINESS ACADEMY,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,5,Approved,9101112,226,3,2017-2018
02M393,Business Of Sports School,True,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,6,Non-Approved,9101112,415,2,2017-2018
02M420,High School for Health Professions and Human Servi,False,510802,Clinical/Medical Laboratory Assistant,Health Science Cluster,4,Non-Approved,101112,290,4,2017-2018
02M489,High School of Economics and Finance,False,520304,Accounting and Finance,Business Management and Administration Cluster,5,Non-Approved,9101112,663,3,2017-2018
02M489,High School of Economics and Finance,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,3,Non-Approved,9101112,60,3,2017-2018
02M507,Urban Assembly Gateway School for Technology,True,110201,"Computer Programming/Programmer, General",Information Technology Cluster,2,Non-Approved,9101112,183,7,2017-2018
02M507,Urban Assembly Gateway School for Technology,True,110899,"Computer Software and Media Applications, Other",Information Technology Cluster,4,Approved,101112,129,7,2017-2018
02M507,Urban Assembly Gateway School for Technology,True,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,3,Approved,101112,123,7,2017-2018
